x,y
0,3.00E-12
0,3.09E-12
0,3.38E-12
0,4.22E-12
0,5.65E-12
0,8.06E-12
0,1.00E-11
0,1.34E-11
0,1.92E-11
0,3.05E-11
0,5.40E-11
0,7.69E-11
0,1.18E-10
0,1.27E-10
0.00065,1.27E-10
0.00151233,1.28E-10
0.00267648,1.28E-10
0.00422092,1.29E-10
0.00626988,1.30E-10
0.00898816,1.31E-10
0.0125944,1.32E-10
0.0173787,1.35E-10
0.0237259,1.38E-10
0.0321464,1.43E-10
0.0433177,1.50E-10
0.0581383,1.61E-10
0.0778003,1.81E-10
0.103885,2.20E-10
0.136385,3.01E-10
0.168885,4.47E-10
0.201385,7.11E-10
0.233885,1.20E-09
0.266385,2.11E-09
0.298885,3.82E-09
0.331385,6.95E-09
0.363885,1.25E-08
0.396385,2.23E-08
0.428885,3.90E-08
0.461385,6.70E-08
0.493885,1.12E-07
0.526385,1.80E-07
0.558885,2.80E-07
0.591385,4.25E-07
0.623885,6.28E-07
0.65,8.43E-07
0,4.85E-20
0,3.77E-20
0,1.64E-20
0,6.93E-12
0,1.04E-11
0,1.18E-11
0,1.24E-11
0,1.27E-11
0,1.36E-11
0,1.73E-11
0,2.53E-11
0,3.89E-11
0,5.05E-11
0,6.96E-11
0,1.02E-10
0,1.62E-10
0,2.76E-10
0,3.78E-10
0,5.51E-10
0,7.38E-10
0.00065,7.40E-10
0.00149717,7.42E-10
0.00264084,7.45E-10
0.00415812,7.48E-10
0.00617104,7.53E-10
0.00884151,7.60E-10
0.0123843,7.69E-10
0.0170845,7.81E-10
0.02332,7.97E-10
0.0315925,8.19E-10
0.0425673,8.49E-10
0.0571272,8.92E-10
0.0764434,9.54E-10
0.101619,1.05E-09
0.134119,1.20E-09
0.166619,1.40E-09
0.199119,1.71E-09
0.231619,2.19E-09
0.264119,3.03E-09
0.296619,4.53E-09
0.329119,7.27E-09
0.361619,1.20E-08
0.394119,1.99E-08
0.426619,3.26E-08
0.459119,5.39E-08
0.491619,9.05E-08
0.524119,1.54E-07
0.556619,2.63E-07
0.589119,4.45E-07
0.621619,7.35E-07
0.65,1.11E-06
0,9.51E-19
0,1.16E-18
0,2.40E-18
0,1.75E-12
0,2.91E-12
0,3.71E-12
0,4.24E-12
0,4.66E-12
0,5.16E-12
0,6.06E-12
0,8.01E-12
0,1.25E-11
0,2.38E-11
0,5.18E-11
0,8.15E-11
0,1.41E-10
0,2.62E-10
0,5.03E-10
0,5.18E-10
0.00065,5.19E-10
0.00149717,5.20E-10
0.00262107,5.22E-10
0.00411213,5.24E-10
0.00609025,5.28E-10
0.00871457,5.32E-10
0.0121962,5.38E-10
0.0168151,5.46E-10
0.0229428,5.57E-10
0.0310723,5.71E-10
0.0416678,5.91E-10
0.0554771,6.17E-10
0.0734754,6.53E-10
0.0969331,7.04E-10
0.126959,7.74E-10
0.159459,8.58E-10
0.191959,9.52E-10
0.224459,1.06E-09
0.256959,1.17E-09
0.289459,1.30E-09
0.321959,1.44E-09
0.354459,1.60E-09
0.386959,1.78E-09
0.419459,1.99E-09
0.435709,2.10E-09
0.456888,2.26E-09
0.484492,2.49E-09
0.516992,2.81E-09
0.549492,3.20E-09
0.581992,3.67E-09
0.614492,4.25E-09
0.646992,5.00E-09
0.65,5.08E-09
0,6.60E-19
0,6.28E-19
0,-7.11E-19
0,4.79E-12
0,7.83E-12
0,9.84E-12
0,1.11E-11
0,1.21E-11
0,1.33E-11
0,1.58E-11
0,2.14E-11
0,3.37E-11
0,4.59E-11
0,6.84E-11
0,1.12E-10
0,2.02E-10
0,3.99E-10
0,8.54E-10
0,1.76E-09
0.00065,1.76E-09
0.00149717,1.77E-09
0.00262107,1.78E-09
0.00411213,1.78E-09
0.00609025,1.80E-09
0.00871457,1.81E-09
0.0121962,1.83E-09
0.0168151,1.86E-09
0.0229428,1.90E-09
0.0310723,1.96E-09
0.0418574,2.03E-09
0.0559141,2.13E-09
0.0742345,2.27E-09
0.0981122,2.46E-09
0.128676,2.72E-09
0.144926,2.84E-09
0.164588,3.05E-09
0.187921,3.35E-09
0.216698,3.77E-09
0.249198,4.30E-09
0.281698,4.90E-09
0.314198,5.59E-09
0.346698,6.39E-09
0.379198,7.30E-09
0.411698,8.37E-09
0.444198,9.64E-09
0.476698,1.12E-08
0.509198,1.32E-08
0.541698,1.60E-08
0.574198,2.02E-08
0.606698,2.69E-08
0.639198,3.84E-08
0.65,4.39E-08
0,4.77E-19
0,7.67E-19
0,1.90E-18
0,9.95E-13
0,1.64E-12
0,2.08E-12
0,2.37E-12
0,2.58E-12
0,2.85E-12
0,3.32E-12
0,3.78E-12
0,4.61E-12
0,6.17E-12
0,9.28E-12
0,1.58E-11
0,3.02E-11
0,6.44E-11
0,1.40E-10
0,2.63E-10
0.00065,2.64E-10
0.00149717,2.65E-10
0.00262107,2.66E-10
0.00411213,2.67E-10
0.00609025,2.69E-10
0.00871457,2.71E-10
0.0121962,2.74E-10
0.0168151,2.78E-10
0.0229428,2.84E-10
0.0310723,2.92E-10
0.0416678,3.02E-10
0.0554771,3.16E-10
0.0734754,3.36E-10
0.0965131,3.62E-10
0.123851,3.96E-10
0.156351,4.41E-10
0.188851,4.91E-10
0.221351,5.47E-10
0.253851,6.10E-10
0.286351,6.81E-10
0.318851,7.60E-10
0.351351,8.51E-10
0.383851,9.57E-10
0.416351,1.08E-09
0.448851,1.23E-09
0.481351,1.41E-09
0.513851,1.65E-09
0.546351,1.95E-09
0.578851,2.36E-09
0.611351,2.90E-09
0.643851,3.65E-09
0.65,3.83E-09
0,3.38E-19
0,4.90E-19
0,-2.23E-19
0,2.54E-12
0,4.13E-12
0,5.17E-12
0,5.79E-12
0,6.27E-12
0,6.88E-12
0,8.12E-12
0,1.11E-11
0,1.76E-11
0,3.26E-11
0,4.72E-11
0,7.46E-11
0,1.30E-10
0,2.49E-10
0,5.13E-10
0,8.71E-10
0.00065,8.73E-10
0.00149717,8.76E-10
0.00262107,8.79E-10
0.00411213,8.84E-10
0.00609025,8.90E-10
0.00871457,8.98E-10
0.0121962,9.09E-10
0.0168151,9.24E-10
0.0229428,9.44E-10
0.0310723,9.72E-10
0.0418574,1.01E-09
0.0559141,1.06E-09
0.0742345,1.13E-09
0.0981122,1.22E-09
0.113115,1.28E-09
0.122017,1.31E-09
0.132996,1.37E-09
0.145768,1.44E-09
0.161521,1.54E-09
0.181684,1.67E-09
0.207963,1.87E-09
0.240463,2.14E-09
0.272963,2.45E-09
0.305463,2.81E-09
0.337963,3.22E-09
0.370463,3.70E-09
0.402963,4.27E-09
0.435463,5.01E-09
0.467963,6.00E-09
0.500463,7.46E-09
0.532963,9.81E-09
0.565463,1.39E-08
0.597963,2.14E-08
0.630463,3.55E-08
0.65,4.94E-08
0,3.89E-20
0,2.13E-20
0,2.23E-20
0,8.47E-14
0,1.31E-13
